ANO_ELEICAO,SIGLA_UF,NOME_MUNICIPIO,NOME_CANDIDATO,SIGLA_PARTIDO,NUMERO_CAND,TOTAL_VOTOS
2014,MG,BELO HORIZONTE,ESIO WILSON LEVINO DE ARAUJO,PTC,3619,11
2014,MG,BELO HORIZONTE,ESTER LEMOS CAMPOS BOTELHO,SD,7788,9
2014,MG,BELO HORIZONTE,EUCLESIO MARTINS PROCOPIO,PSB,4085,22
2014,MG,BELO HORIZONTE,EUCLYDES MARCOS PETTERSEN NETO,PTB,1415,1691
2014,MG,BELO HORIZONTE,EUSTAQUIO MARCONCINE BINI,PDT,1230,138
2014,MG,BELO HORIZONTE,EVA MARCIELA MORAES,PTN,1902,18
2014,MG,BELO HORIZONTE,EVANDRO DA SILVA PEDRAS,PSB,4051,276
2014,MG,BELO HORIZONTE,EVANDRO MIZAEL DA SILVA,PR,2212,77
2014,MG,BELO HORIZONTE,EVANILDA GOMES DE PAIVA,PMN,3339,6
2014,MG,BELO HORIZONTE,EVELIN LUCILIA DA PIEDADE,PDT,1278,14
2014,MG,BELO HORIZONTE,FABIANA NUNES MACIEL,PV,4323,68
2014,MG,BELO HORIZONTE,FABIANO COSTA DINIZ,SD,7747,2090
2014,MG,BELO HORIZONTE,FABIO ANTONIO DA SILVA,PPS,2312,1382
2014,MG,BELO HORIZONTE,FABIO AUGUSTO RAMALHO DOS SANTOS,PV,4311,2250
2014,MG,BELO HORIZONTE,FABIO DOS SANTOS,PSL,1701,986
2014,MG,BELO HORIZONTE,FABIO NOVAIS MAGALHAES,PSDB,4599,120
2014,MG,BELO HORIZONTE,FABRICIO LUIS RESENDE,PT do B,7007,729
2014,MG,BELO HORIZONTE,FELIPE DE FREITAS FONSECA,PSTU,1617,18
2014,MG,BELO HORIZONTE,FERNANDO ANTONIO CARVALHO FRANCO,PRB,1045,86
2014,MG,BELO HORIZONTE,FERNANDO BORJA PINTO,PT do B,7077,7152
2014,MG,BELO HORIZONTE,FERNANDO DE MORAES,PV,4312,334
2014,MG,BELO HORIZONTE,FLAVIO DONIZETE GONCALVES,PTC,3611,87
2014,MG,BELO HORIZONTE,FRANCISCA MARIA DA SILVA,PSB,4040,553
2014,MG,BELO HORIZONTE,FRANCISCO DA SILVA,PV,4314,21
